Title: HST survey of the Orion Nebula Cluster in the H_2_O 1.4um absorption 
       band: I. A census of substellar and planetary mass objects  
Authors: Robberto M., Gennaro M., Gabellini M.G.U., Hillenbrand L.A., 
    Pacifici C., Ubeda L., Andersen M., Bartman T., Bellini A., Da Rio N., 
    de Mink S., Lodato G., Manara C.F., Platais I., Pueyo L., Soderblom D.R., 
    Strampelli G.M., Tan J., Testi L.
Table: Estimated parameters of the ONC sample
================================================================================
Byte-by-byte Description of file: apjab911et4_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---     index    Sequential running number 
   6- 10 F5.2   [-]     log(BF)  Base-10 Logarithm of the Bayes Factor
  12- 15 F4.2   solMass Mstar    Mass, solar units
  17- 20 I4     K       Teff     Effective Temperature
  22- 27 F6.2   mag     Av       Extinction estimated using distance from IR isochrone
--------------------------------------------------------------------------------
1513  2.00 0.01 2284  -2.31
1515 -0.37 0.05 2758   8.28
1523 -0.35 0.01 2292   7.91
1524  0.46 0.00 1884  -3.20
1525  2.00 0.00 1332  -8.19
1527  2.00 0.17 3154  -0.12
1528  2.00 0.17 3152  -0.13
1531  0.41 0.00 1759  -4.06
1533  2.00 0.24 3230 -10.46
1534  2.00 1.10 3874   1.27
1535  2.00 0.91 3759   1.32
1536  2.00 0.92 3761   3.57
1537  2.00 0.41 3360   1.24
1538  2.00 0.17 3152  -1.42
1539  2.00 0.30 3282   1.14
1540  2.00 0.49 3417   4.52
1541  2.00 0.33 3305   0.93
1542  2.00 0.21 3205   1.03
1543  2.00 0.11 3031  -1.26
1544  2.00 0.10 2912  -0.85
1545  2.00 0.01 2389  -0.66
1548  2.00 0.01 2081  -2.97
1558  2.00 0.83 3689   1.93
1560  2.00 0.44 3381   1.46
1561  2.00 0.21 3204  -1.52
1562  2.00 0.54 3457   4.11
1563  2.00 0.34 3310   3.64
1564  2.00 0.11 3034   0.76
1565  2.00 0.11 3026   2.08
1566  0.65 0.18 3171   5.76
1567  2.00 0.09 2867   0.89
1571  2.00 0.01 2386  -0.14
1574  0.23 0.02 2409   5.09
1578  0.65 0.00 1394  -8.06
1584  2.00 0.97 3791   2.80
1585  2.00 0.70 3595   0.78
1586  2.00 0.43 3373   0.95
1587  2.00 0.46 3392   2.34
1588  2.00 0.13 3065  -3.04
1589  2.00 0.13 3082  -0.38
1590  2.00 0.15 3122   1.91
1591  2.00 0.13 3061   1.45
1592  2.00 0.06 2806  -2.87
1593  2.00 0.14 3088   3.40
1595  0.20 0.16 3132   7.99
1596  0.94 0.08 2851   2.87
1597 -0.04 0.41 3363  11.06
1598  2.00 0.05 2763   1.95
1600  0.89 0.02 2524   2.76
1602  0.60 0.01 2270   3.11
1603 -0.31 0.01 1983   3.08
1606  0.81 0.15 3118   4.66
1615  2.00 0.76 3639  -4.26
1616  2.00 0.91 3759   1.29
1617  2.00 0.59 3501   1.33
1618  2.00 0.44 3382   1.07
1619  2.00 0.41 3362   3.16
1620  2.00 0.25 3237   1.52
1621  2.00 0.21 3199   2.65
1622  2.00 0.14 3093   2.01
1623  2.00 0.14 3095   1.86
1624  0.29 0.28 3268   8.43
1625  2.00 0.05 2758   1.24
1626  0.96 0.06 2821   2.81
1637  0.77 0.01 1965  -2.81
1640  0.74 0.00 1797  -5.83
1643  0.46 0.00 1851  -3.08
1655 -0.12 0.01 2200  10.91
1673  2.00 0.45 3388  -2.06
1674  2.00 0.39 3348   3.25
1675  2.00 0.11 2942   3.04
1676  0.91 0.08 2834   3.10
1685  2.00 0.51 3436   1.21
1686  2.00 0.30 3277   1.87
1687  2.00 0.04 2735  -1.73
1694  2.00 0.50 3425   5.61
1698 -0.44 0.00 1639  -1.90
1701  2.00 1.09 3867  -0.69
1702  2.00 0.76 3642   1.09
1704  2.00 0.18 3168  -1.10
1705  0.99 0.79 3662   7.82
1706  2.00 0.12 3040   2.48
1707  2.00 0.10 2865   1.17
1715 -0.38 0.01 2352   7.48
1727  2.00 1.18 3950  -5.60
1728  2.00 0.23 3223   1.30
1729  2.00 0.14 3091   0.70
1755  2.00 0.16 3133   1.49
1759  0.55 0.01 2190   1.57
1770  2.00 0.17 3162   1.76
1771  2.00 0.10 2861   1.26
1772  0.48 0.13 3064   6.43
1773  0.21 0.13 3068   7.69
1775 -0.40 0.08 2869   7.90
1841  2.00 0.75 3632  -5.35
1842  2.00 0.29 3273   1.91
1843  2.00 0.10 2868  -1.26
1844  2.00 0.10 2900   0.16
1845 -0.49 0.06 2808   8.67
1857  2.00 0.17 3155   2.66
1858  0.47 0.22 3217   7.14
1872  2.00 0.51 3433   2.82
1873  2.00 0.45 3390   2.97
1874  0.57 0.38 3339   7.86
1875  2.00 0.08 2855  -0.48
1876  2.00 0.11 2971   3.01
1901  2.00 0.06 2826  -0.10
1927  2.00 0.33 3300   4.69
1928  2.00 0.14 3089   2.90
1929  2.00 0.09 2867  -0.94
1930  2.00 0.09 2862   1.11
1931  2.00 0.06 2830  -2.03
1932  0.09 0.44 3381  10.58
1933  2.00 0.05 2760   1.83
1941  0.72 0.01 2310   3.09
1968 -0.22 0.15 3114   9.28
1969 -0.44 0.04 2757   8.64
1982  2.00 0.09 2867   0.97
1984  0.60 0.01 2340   3.92
1986  2.00 0.72 3611   0.15
1987  2.00 0.56 3473  -0.78
1988  2.00 0.07 2844   1.84
1994 -0.15 0.01 2159   4.26
2004  2.00 0.61 3517  -3.67
2005  2.00 0.72 3611  -2.74
2007  2.00 0.33 3306  -0.58
2008  2.00 0.31 3287   1.31
2009  2.00 0.26 3247   1.81
2010  2.00 0.12 3043  -1.38
2011  2.00 0.13 3067   0.48
2012  2.00 0.29 3275   3.79
2013  2.00 0.20 3193   2.39
2014  2.00 0.23 3226   2.93
2015  2.00 0.12 3054   1.19
2016  2.00 0.15 3111   2.68
2017  2.00 0.12 3042   2.21
2018  2.00 0.07 2858  -1.09
2019  2.00 0.11 3028   3.74
2020  2.00 0.11 3015   3.52
2021  2.00 0.11 2962   3.64
2022 -0.40 0.17 3158  10.08
2023 -0.32 0.12 3037   9.49
2025  0.54 0.04 2674   3.81
2028  0.06 0.04 2703   7.26
2029  0.08 0.03 2605   6.41
2039  2.00 0.41 3363  -2.29
2040  2.00 0.50 3430  -0.19
2041  2.00 0.27 3261  -0.64
2042  2.00 0.18 3169   2.18
2043  2.00 0.14 3106   1.14
2044  0.95 0.20 3188   4.10
2045  2.00 0.03 2585   0.49
2063  2.00 0.25 3240 -12.58
2064  0.69 0.10 2899   5.41
2069  2.00 0.94 3771   4.06
2070  2.00 0.95 3774   4.96
2071  2.00 0.46 3393   5.18
2072  2.00 0.06 2802   0.14
2073 -0.40 0.49 3421  12.80
2074  0.98 0.06 2834   2.67
2075 -0.19 0.00 1674  -2.16
2079  2.00 0.00  803 -73.89
2082  2.00 0.12 3057 -22.32
2084  2.00 0.64 3539  -9.10
2087  2.00 0.60 3508  -7.07
2089  2.00 0.77 3648  -3.67
2093  2.00 0.91 3756  -1.90
2094  2.00 1.06 3849  -0.51
2099  2.00 1.18 3949   1.72
2100  2.00 1.13 3886   1.66
2101  2.00 1.09 3863   1.13
2104  2.00 0.74 3622  -0.18
2107  2.00 1.33 4125   4.39
2108  2.00 1.01 3817   2.26
2112  2.00 0.96 3780   3.03
2113  2.00 0.95 3774   3.51
2114  2.00 0.66 3559   1.74
2117  2.00 0.82 3685   4.04
2118  2.00 0.62 3521   2.10
2119  2.00 0.69 3584   3.41
2120  2.00 0.60 3504   2.69
2122  2.00 0.48 3409   2.14
2123  2.00 0.54 3461   2.73
2124  2.00 0.44 3383   1.98
2125  2.00 1.37 4168   8.52
2126  2.00 0.18 3171  -1.31
2127  2.00 0.79 3666   5.61
2128  2.00 0.62 3528   3.72
2129  2.00 0.19 3183  -0.41
2130  2.00 0.30 3282   1.29
2131  2.00 0.16 3144  -1.02
2132  2.00 0.38 3338   3.01
2133  2.00 0.51 3434   4.33
2134  2.00 0.62 3529   5.26
2136  2.00 0.25 3239   1.66
2137  2.00 0.12 3055  -1.98
2138  2.00 0.63 3532   5.83
2140  2.00 0.29 3274   2.85
2141  2.00 0.14 3085  -0.72
2142  2.00 0.53 3451   5.84
2143  2.00 0.17 3150   1.11
2144  2.00 0.15 3113   0.28
2145  2.00 0.50 3427   4.69
2146  2.00 0.14 3105   0.37
2147  2.00 0.57 3482   6.41
2148  2.00 0.13 3070  -0.33
2149  2.00 0.29 3271   3.99
2150  2.00 0.10 2895  -1.37
2151  2.00 0.15 3126   1.36
2152  2.00 0.17 3161   2.33
2153  0.85 0.79 3660   9.31
2154  2.00 0.45 3391   4.72
2155  2.00 0.17 3163   2.53
2156  2.00 0.16 3132   2.22
2157  2.00 0.11 2965  -0.50
2158  2.00 0.37 3333   4.67
2159  0.74 0.53 3456   7.85
2160  0.97 0.10 2872  -3.46
2163  2.00 0.12 3054   0.70
2164  2.00 0.07 2843  -3.20
2165  0.81 0.24 3235   4.60
2166  2.00 0.13 3079   1.18
2167  0.86 0.24 3236   4.67
2168  2.00 0.12 3056   1.32
2169  0.81 0.29 3277   5.28
2170  2.00 0.07 2856  -3.18
2171  0.88 0.26 3247   5.11
2172  0.60 0.51 3434   8.30
2173  0.96 0.21 3202   4.62
2174  2.00 0.11 3024   0.91
2175  0.47 1.04 3837  12.67
2176  0.51 0.60 3507   9.52
2177  2.00 0.05 2774  -4.37
2178  2.00 0.10 2917   0.57
2179  0.49 0.23 3218   6.23
2180  2.00 0.11 3029   2.25
2181  2.00 0.07 2855  -1.30
2182  0.99 0.15 3108   3.95
2184  0.32 0.39 3347   8.85
2185  2.00 0.05 2767  -2.51
2186  2.00 0.09 2862   2.01
2187  2.00 0.10 2906   2.60
2189  0.00 1.05 3841  14.85
2190  0.25 0.34 3307   9.11
2191  0.99 0.14 3095   4.60
2192  0.72 0.25 3239   6.04
2194  2.00 0.10 2921   3.23
2195  0.37 0.20 3190   7.65
2196  0.41 0.21 3204   7.93
2197 -0.20 0.60 3504  12.73
2198  2.00 0.06 2830  -0.14
2199 -0.18 0.18 3172   7.79
2200  0.21 0.18 3170   8.13
2201  0.23 0.15 3128   7.90
2203  2.00 0.06 2833   1.69
2206  0.01 0.18 3173  10.26
2207  0.72 0.14 3092   5.59
2208  0.32 0.16 3134   7.65
2209  0.74 0.08 2843   3.92
2210  0.53 0.10 2929   6.73
2211  2.00 0.06 2827   2.79
2213  0.27 0.14 3106   7.59
2217  0.94 0.04 2716   1.71
2218  2.00 0.03 2671   1.66
2228  0.84 0.03 2575   2.19
2229  0.97 0.02 2539   1.51
2231  0.92 0.02 2457   0.63
2233  2.00 0.01 2257  -3.06
2256  0.72 0.01 2389   3.21
2263  0.25 0.01 2373   5.08
2274  2.00 0.00 1882  -3.39
2278  0.55 0.00 1369  -8.62
2284  2.00 0.22 3216  -1.23
2285  2.00 0.12 3049  -0.19
2286  2.00 0.05 2764  -5.87
2287  2.00 0.11 3027   0.17
2288  2.00 0.11 2968  -0.16
2289  2.00 0.11 2978   1.07
2290  0.67 0.36 3327   7.25
2291  0.61 0.47 3400   8.26
2292  2.00 0.07 2843  -0.83
2293  0.46 0.24 3231   7.07
2294  0.92 0.04 2686   2.05
2295  0.37 0.03 2622   5.64
2297  0.47 0.02 2506   5.15
2305  0.63 0.01 2055  -0.77
2308  2.00 0.19 3175   2.44
2309  0.55 0.93 3767  11.46
2310  0.91 0.21 3205   4.59
2311  0.94 0.18 3173   4.42
2312  2.00 0.17 3154   7.45
2313  2.00 0.05 2760  -1.18
2316  2.00 0.01 2399   1.53
2318 -0.06 0.04 2724   7.55
2319  0.64 0.01 2243   2.99
2320  2.00 1.00 3807   1.43
2324  2.00 1.38 4182  10.31
2325  2.00 0.31 3285   2.03
2326  2.00 0.15 3115  -0.99
2327  2.00 0.19 3182   2.64
2328  2.00 0.12 3047   0.55
2329  2.00 0.12 3042   0.44
2330  0.69 0.94 3769  11.04
2331  2.00 0.08 2869  -1.87
2333  0.33 1.08 3858  13.92
2334  2.00 0.07 2853  -0.51
2335  0.29 0.18 3172   7.83
2336  0.72 0.11 3013   5.27
2337  2.00 0.03 2614  -3.72
2341  0.15 0.10 2898   7.71
2345  0.93 0.04 2756   3.16
2348  0.65 0.04 2697   3.19
2353  2.00 0.00  865 -32.32
2354  0.88 0.02 2452   3.49
2357  2.00 0.00  763 -34.84
2363  2.00 0.01 2015  -2.54
2364  0.97 0.00  763 -29.67
2365  0.26 0.00  689 -32.13
2367 -0.28 0.00 1215 -10.10
2368  0.88 0.00 1208 -11.48
2372  2.00 1.05 3841   1.54
2374  2.00 0.91 3759   1.29
2375  2.00 1.14 3893   4.14
2376  2.00 0.91 3759   2.53
2377  2.00 0.75 3629   2.20
2378  2.00 0.95 3776   3.51
2380  2.00 0.81 3679   3.56
2381  2.00 0.76 3639   3.09
2383  2.00 0.58 3489   2.79
2384  2.00 0.63 3537   3.62
2385  2.00 0.58 3490   3.17
2386  2.00 0.50 3429   2.74
2387  2.00 0.75 3631   5.40
2388  2.00 0.24 3232  -0.34
2389  2.00 0.24 3231   0.28
2390  2.00 0.53 3449   4.31
2391  2.00 0.34 3311   2.86
2392  2.00 0.94 3770   8.32
2393  2.00 0.55 3472   5.71
2394  2.00 0.48 3415   5.21
2395  2.00 0.66 3561   6.60
2396  2.00 0.30 3279   3.84
2397  2.00 0.29 3274   3.69
2398  2.00 0.49 3418   5.91
2399  0.94 0.55 3468   7.13
2400  0.76 0.53 3449   7.66
2401  2.00 0.13 3082   1.44
2402  0.88 0.30 3280   5.13
2403  2.00 0.14 3086   0.71
2404  2.00 0.11 3031   0.81
2405  0.95 0.19 3181   4.01
2406  0.60 0.52 3445   8.21
2407  0.72 0.35 3318   6.42
2408  0.97 0.17 3153   3.61
2409  0.68 0.33 3301   7.02
2410  0.56 0.53 3453   9.04
2411  0.73 0.20 3187   5.12
2412  2.00 0.07 2858  -1.38
2413  2.00 0.07 2845  -1.40
2414  2.00 0.06 2823  -2.23
2415  2.00 0.10 2861   1.25
2416  0.26 0.30 3278   8.56
2417  2.00 0.10 2932   3.46
2418  2.00 0.08 2853   1.78
2419 -0.24 0.42 3368  11.73
2420  2.00 0.06 2815   2.55
2421  2.00 0.04 2750   1.05
2422  0.55 0.07 2845   5.01
2423  0.16 0.10 2907   7.47
2426  0.33 0.08 2869   5.97
2427  0.18 0.09 2864   6.99
2431  2.00 0.01 2371   0.18
2433  0.49 0.03 2657   5.19
2434 -0.27 0.05 2758   7.90
2435  0.26 0.04 2701   6.17
2437 -0.41 0.04 2750   8.55
2439  0.69 0.02 2459   3.82
2441  2.00 0.00 1853  -6.83
2449  2.00 1.00 3812  -4.60
2451  2.00 0.72 3612  -6.02
2452  2.00 0.66 3559  -6.05
2459  2.00 0.76 3638   2.00
2460  2.00 1.08 3861   4.98
2461  2.00 0.60 3508   1.90
2462  2.00 0.80 3672   3.27
2463  2.00 0.65 3554   2.17
2465  2.00 0.15 3109  -4.00
2466  2.00 0.65 3552   3.12
2467  2.00 0.36 3323   0.26
2468  2.00 0.83 3694   5.03
2469  2.00 0.50 3429   3.32
2470  2.00 0.48 3413   3.71
2471  2.00 0.38 3338   2.58
2472  2.00 1.35 4150  10.41
2473  2.00 0.15 3109  -0.69
2474  2.00 0.91 3758   6.13
2475  2.00 0.19 3185   0.74
2476  2.00 0.17 3147   0.69
2477  2.00 0.11 3026  -1.57
2479  2.00 0.11 3035  -0.43
2480  2.00 0.09 2867  -2.82
2481  2.00 0.40 3355   5.63
2482  2.00 0.46 3397   6.27
2483  2.00 0.17 3146   2.16
2484  0.99 0.28 3266   4.45
2485  0.81 0.43 3376   6.73
2486  0.84 0.26 3253   4.96
2487  2.00 0.11 2951   0.01
2488  2.00 0.12 3039   0.88
2489  0.97 0.19 3175   3.81
2490  0.94 0.18 3175   4.36
2491  0.90 0.19 3182   3.60
2492  2.00 0.08 2869  -1.56
2493  2.00 0.13 3065   2.70
2494  2.00 0.12 3049   2.62
2495  2.00 0.15 3118   3.59
2496  0.72 0.16 3141   4.63
2497  2.00 0.11 2983   2.08
2499  2.00 0.09 2862   1.45
2500  2.00 0.06 2823  -1.89
2501  2.00 0.10 2906   2.38
2502  0.81 0.29 3273   5.64
2503  0.49 0.14 3096   6.36
2504  0.19 0.17 3162   8.10
2505  2.00 0.07 2835   1.67
2506  2.00 0.07 2849   0.97
2507  0.86 0.10 2887   4.54
2508  0.49 0.12 3055   6.36
2509  0.51 0.10 2883   6.58
2510 -0.07 0.14 3093   8.89
2511  2.00 0.06 2832   2.88
2512  1.00 0.04 2675   0.90
2514  0.30 0.09 2867   6.88
2516 -0.47 0.08 2869   8.14
2518 -0.22 0.07 2855   6.96
2519  0.32 0.05 2758   4.63
2520  0.33 0.13 3069  12.00
2522  0.42 0.04 2675   3.45
2523 -0.27 0.07 2858   9.06
2527  2.00 0.01 2343  -0.51
2529  0.21 0.04 2741   6.67
2536  2.00 0.01 2314   2.01
2539  0.82 0.01 2308   2.38
2540  0.86 0.01 2400   4.88
2541  0.51 0.01 2373   4.18
2545  2.00 1.13 3886   0.62
2548  2.00 1.16 3911   4.89
2549  2.00 0.28 3268  -0.34
2550  2.00 0.60 3503   4.72
2551  2.00 0.43 3377   3.95
2552  2.00 0.46 3397   4.39
2553  2.00 0.16 3146   3.44
2554  0.40 0.10 2870   7.80
2555  0.33 0.03 2669   2.42
2556  2.00 0.02 2467  -0.71
2557  0.99 0.02 2509   2.76
2558  0.63 0.03 2660   5.19
2561  2.00 0.63 3536 -11.63
2563  2.00 1.31 4108   5.88
2565  2.00 1.20 3971   5.74
2566  2.00 0.75 3629   3.37
2567  2.00 0.73 3615   4.32
2569  2.00 0.62 3522   3.65
2570  2.00 0.37 3334   2.28
2571  2.00 1.02 3822   7.52
2572  2.00 0.54 3463   4.21
2573  2.00 0.72 3606   5.95
2574  2.00 0.70 3594   6.19
2575  2.00 0.59 3500   5.50
2576  2.00 0.20 3197   1.85
2577  2.00 0.33 3304   4.01
2578  2.00 0.25 3240   3.41
2579  0.89 0.78 3652   9.02
2580  2.00 0.16 3133   1.95
2581  2.00 0.11 3023   0.01
2583  2.00 0.09 2863  -1.27
2584  0.53 0.71 3602  10.11
2585  2.00 0.11 2952   1.50
2586  2.00 0.10 2886   0.81
2587  0.44 0.41 3365   8.65
2588  0.38 0.51 3434   9.63
2589  2.00 0.11 2978   2.23
2590  0.66 0.14 3091   5.79
2591  2.00 0.10 2869   2.43
2592  2.00 0.08 2851   1.33
2593  0.80 0.12 3036   5.01
2594  2.00 0.08 2869   1.87
2595  2.00 0.04 2755  -0.60
2596 -0.23 0.18 3171   9.60
2599  2.00 0.03 2655  -0.05
2600  0.29 0.07 2835   6.02
2601 -0.08 0.16 3140   8.77
2612 -0.11 0.16 3137   9.18
2617  0.21 0.03 2658   7.21
2625 -0.46 0.10 2859   9.09
2641  2.00 0.36 3329  -6.65
2642  0.91 0.13 3079   4.49
2643  0.08 0.38 3341  10.24
2644 -0.17 0.69 3582  13.10
2645  0.58 0.11 3016   5.90
2646 -0.45 0.17 3161  10.43
2647  0.99 0.04 2735   1.82
2711  2.00 0.11 2978   2.15
2712  0.77 0.04 2704   2.95
2726  2.00 0.27 3255 -13.47
2727  2.00 0.71 3602   3.25
2728  2.00 0.43 3376   1.26
2729  2.00 0.32 3297   2.37
2730  2.00 0.20 3192   3.38
2731  2.00 0.09 2868   2.32
2732 -0.16 0.10 2861   8.49
2733  0.95 0.04 2686   1.51
2734 -0.41 0.05 2766   8.01
2757  0.85 0.16 3129   4.54
2758  2.00 0.08 2859   1.28
2770  0.83 0.03 2585   2.11
2774  2.00 0.31 3290   1.07
2775  2.00 0.16 3137   1.54
2776  2.00 0.13 3064   0.31
2777  2.00 0.12 3049   0.25
2791  2.00 0.56 3479   1.73
2792  2.00 0.76 3640   4.79
2793  2.00 0.30 3280   2.21
2794  2.00 0.35 3320   3.33
2795  2.00 0.27 3258   2.31
2796  2.00 0.41 3364   4.66
2797  0.95 0.37 3337   5.70
2798  0.86 0.42 3372   6.50
2799  0.70 0.59 3503   8.44
2800  0.78 0.14 3093   1.27
2801  0.93 0.20 3195   4.27
2802  2.00 1.14 3893  12.21
2803  0.98 0.14 3086   3.49
2804  0.78 0.16 3130   4.92
2805  2.00 0.12 3040   3.51
2806  2.00 0.11 2972   3.43
2807  2.00 0.09 2864   1.98
2808  0.46 0.17 3161   6.86
2809  0.79 0.12 3057   5.24
2810  0.01 0.50 3427  11.04
2811  2.00 0.05 2762  -0.88
2812 -0.37 0.45 3388  12.45
2813  2.00 0.06 2816   0.65
2814  0.81 0.05 2761   3.07
2815  0.99 0.04 2703   1.34
2820 -0.01 0.05 2761   5.68
2825  0.02 0.01 2265   5.40
2831  0.67 0.00 1781  -2.72
2832 -0.43 0.00 1865   1.36
2836  2.00 0.81 3678   3.73
2837  2.00 0.48 3409   3.01
2840 -0.26 0.00 1897   0.66
2846  2.00 0.79 3662   4.17
2847  2.00 0.60 3509   4.95
2848  0.91 0.81 3679   8.57
2849  0.95 0.24 3228   4.06
2850  0.09 0.11 2986   8.23
2853  0.24 0.03 2588   6.20
2857  2.00 0.37 3335   1.77
2858  2.00 0.42 3368   3.49
2859  2.00 0.20 3197   0.92
2860  2.00 0.25 3242   2.24
2861  2.00 0.24 3228   2.24
2862  2.00 0.20 3188   2.37
2863  2.00 0.16 3136   2.36
2864  2.00 0.07 2839   0.68
2878  2.00 0.53 3448 -10.52
2879  2.00 0.80 3670  -6.41
2880  2.00 0.75 3628  -4.00
2881  2.00 1.19 3970  -0.56
2883  2.00 0.98 3799   0.75
2888  2.00 0.96 3786   3.11
2891  2.00 0.78 3658   3.25
2892  2.00 0.56 3481   2.34
2894  2.00 0.48 3410   1.71
2895  2.00 0.78 3656   5.12
2896  2.00 0.51 3434   2.80
2897  2.00 0.49 3416   3.00
2898  2.00 0.35 3315   1.47
2899  2.00 1.03 3828   7.70
2900  2.00 0.50 3429   3.74
2901  2.00 1.17 3931   8.68
2902  2.00 0.50 3424   3.78
2904  2.00 0.16 3138  -0.76
2905  2.00 0.60 3504   6.29
2906  2.00 0.19 3177   1.20
2907  2.00 0.19 3184   1.54
2908  2.00 0.31 3285   3.71
2909  0.95 0.70 3591   7.95
2910  2.00 0.17 3154   1.77
2911  2.00 0.56 3480   6.62
2912  2.00 0.10 2890  -1.35
2913  0.79 0.43 3378   6.76
2914  0.76 0.53 3449   7.68
2916  2.00 0.17 3149   3.15
2917  0.71 0.50 3429   7.69
2918  0.79 0.32 3298   5.65
2919  0.68 0.56 3474   8.25
2920  0.54 0.59 3497   9.35
2921  0.92 0.17 3160   4.10
2922  2.00 0.10 2887   0.47
2923  0.93 0.17 3162   4.30
2924  2.00 0.14 3088   3.18
2925  2.00 0.07 2853  -1.59
2926  0.79 0.15 3113   4.96
2927  0.85 0.13 3080   4.94
2928  0.42 0.25 3239   7.93
2929  2.00 0.10 2903   2.83
2930  2.00 0.07 2850  -0.11
2931  0.99 0.10 2934   3.55
2932  0.31 0.15 3126   7.54
2933  0.17 0.16 3144   7.99
2934  2.00 0.06 2828   0.64
2935  0.67 0.10 2898   5.14
2936  0.91 0.08 2845   3.24
2937 -0.33 0.21 3207  10.16
2938  2.00 0.06 2825   1.82
2939  2.00 0.05 2767   1.49
2943  0.97 0.04 2745   1.69
2944  0.80 0.04 2754   2.67
2947  0.97 0.03 2559   1.16
2957  0.74 0.02 2467   3.75
2960  2.00 0.00 1210 -23.01
2967  2.00 0.00  957 -25.91
2971  2.00 0.01 2010  -1.55
2986  2.00 0.94 3769   2.52
2987  2.00 0.61 3518   0.68
2988  2.00 0.53 3451   1.78
2990  2.00 0.91 3755   4.71
2991  2.00 0.45 3386   1.54
2993  2.00 1.05 3844   8.01
2994  2.00 0.16 3132  -0.61
2995  2.00 0.58 3495   5.58
2996  2.00 0.34 3311   4.21
2997  2.00 0.33 3305   4.19
2998  0.98 0.66 3563   7.68
2999  2.00 0.12 3057  -0.42
3000  0.82 0.69 3584   8.82
3001  2.00 0.16 3145   2.57
3002  2.00 0.15 3123   2.21
3003  2.00 0.16 3137   3.09
3004  0.76 0.21 3201   5.33
3005  0.67 0.19 3179   5.51
3006  0.60 0.20 3188   5.90
3007  2.00 0.10 2895   2.33
3008  0.01 0.23 3219   9.34
3009  0.18 0.13 3073   7.36
3010  0.92 0.07 2852   2.87
3013  0.97 0.04 2723   1.35
3014  0.67 0.04 2754   3.65
3015  0.27 0.04 2749   5.13
3018  0.62 0.01 2323   2.50
3026 -0.36 0.01 2204   9.47
3027  2.00 0.24 3229 -11.63
3028  2.00 0.70 3591   3.27
3030  2.00 0.21 3205   0.24
3031  2.00 0.40 3358   3.30
3032  2.00 0.36 3326   3.36
3033  2.00 0.47 3402   4.64
3035  0.56 0.70 3596   9.64
3036  2.00 0.11 3025   0.93
3037  2.00 0.13 3060   3.47
3038  2.00 0.05 2780  -0.30
3040  0.51 0.12 3038   6.09
3041 -0.44 0.23 3223  10.76
3042  0.91 0.02 2523   1.22
3046 -0.01 0.01 2342   6.27
3051  2.00 0.69 3585   5.19
3052  2.00 0.14 3099  -1.15
3053  0.85 1.01 3816  10.25
3054  0.95 0.48 3410   6.52
3057  0.60 0.25 3241   6.43
3058  0.81 0.14 3091   5.21
3060  0.34 0.19 3184   7.74
3061 -0.27 0.38 3342  11.65
3062 -0.08 0.23 3220   9.60
3063 -0.28 0.33 3307  11.37
3064  0.07 0.13 3068   8.06
3067  2.00 0.03 2663  -0.21
3069  0.63 0.04 2680   3.12
3078 -0.40 0.01 2375   7.93
3080 -0.15 0.01 2243   5.52
3086  2.00 0.35 3317   2.66
3088  0.59 0.54 3462   8.62
3089  2.00 0.13 3070   2.23
3090  0.71 0.34 3308   6.66
3091  0.68 0.20 3191   5.38
3092  0.11 0.40 3360  10.02
3093  2.00 0.05 2771  -0.51
3094 -0.32 0.65 3547  13.54
3106 -0.36 0.03 2555   8.42
3119  2.00 1.07 3853   5.34
3120  0.32 1.02 3820  13.51
3121  0.74 0.09 2864   4.96
3130  0.65 0.01 2373  12.42
3131  0.99 0.07 2852   2.28
3134  0.27 0.00 1825  -2.43
3136  2.00 0.64 3545  -1.72
3137  2.00 0.62 3521  -2.13
3141  2.00 0.10 2862  -1.38
3142  2.00 0.08 2855  -0.87
3143 -0.04 0.61 3516  12.03
3144 -0.30 1.11 3879  16.28
3145  0.48 0.14 3104   6.58
3146 -0.12 0.17 3158   9.10
3152  0.83 0.01 2343   1.64
3160  2.00 0.68 3577   1.47
3161  2.00 0.22 3210  -0.14
3162  2.00 0.20 3198   1.93
3163  0.39 1.32 4118  15.34
3164  2.00 0.03 2606  -0.27
3181  2.00 0.83 3691   6.11
3182  0.88 0.31 3292   5.25
3183  0.74 0.38 3340   6.62
3184  2.00 0.14 3091   2.49
3186 -0.10 0.00 1838   3.19
3188  2.00 0.46 3394   4.83
3189 -0.02 0.19 3176   9.02
3190  0.40 0.12 3056   6.90
3192  2.00 0.31 3289 -10.17
3193  0.76 0.35 3316   6.34
3194  0.91 0.13 3081   4.17
3196  0.89 0.05 2765   2.76
3197 -0.36 0.08 2869   8.18
3209  2.00 1.32 4120   7.50
3210  2.00 1.17 3936   8.33
3212  2.00 0.35 3319   3.45
3213  2.00 0.68 3576   6.08
3214  2.00 0.26 3246   2.18
3215  2.00 0.65 3554   6.36
3216  2.00 0.28 3262   2.87
3217  2.00 0.75 3635   6.31
3218  2.00 0.60 3505   4.16
3220  0.93 0.70 3591   7.84
3221  0.89 0.77 3645   8.80
3222  2.00 0.13 3073   0.51
3223  0.85 0.41 3365   6.43
3224  0.96 0.20 3192   3.69
3225  0.68 0.60 3505   8.55
3226  0.73 0.33 3303   6.22
3227  2.00 0.13 3078   1.15
