i, Name, SOURCEID, J, H, K, Q,  S,  exclude?,  notes,  
0, 2MASS J03424919+3150110, 44989782447631, 12.994135856628418, 11.785688400268555, 11.122093200683594, Q2   ,  2.2353222779553343,    ,  ,
1, 2MASS J03430679+3148204, 44989782447074, 12.189659118652344, 11.220585823059082, 10.713430404663086, Q0   ,  0.941162109375,    ,  ,
2, 2MASS J03431371+3200451, 44989782490480, 13.809515953063965, 12.368744850158691, 11.617155075073242, Q2   ,  23.204067887931036,    ,  ,
3, 2MASS J03431581+3210455, 44989782490350, 16.037904739379883, 15.077047348022461, 14.259601593017578, Q2   ,  4.74023577810704,    ,  ,
4, 2MASS J03432622+3159286, 44989782490030, 14.48150634765625, 13.782262802124023, 13.38469409942627, Q0   ,  0.8101268181434045,    ,  ,
5, 2MASS J03432774+3208314, 44989782489977, 13.820255279541016, 13.063035011291504, 12.669801712036133, Q0   ,  0.4822243876840876,    ,  ,
6, 2MASS J03432820+3201591, 44989782489969, 11.76102066040039, 10.77657699584961, 10.13160514831543, Q1J  ,  14.745494106359647,    ,  ,
7, 2MASS J03432845+3205058, 44989782489939, 15.608370780944824, 14.098549842834473, 12.96890640258789, Q1J  ,  13.911473767510774,    ,  ,
8, 2MASS J03432944+3152194, 44989782446602, 14.908424377441406, 13.644577980041504, 13.088567733764648, Q1JHK,  0.753202342023753,    ,  ,
9, 2MASS J03433205+3206172, 44989782489777, 12.095935821533203, 11.361579895019531, 11.104963302612305, Q0   ,  2.853597531373473,    ,  ,
10, 2MASS J03433630+3203435, 44989782470026, 15.471590995788574, 13.604097366333008, 12.47901725769043, Q2   ,  0.9109682569316788,    ,  ,
11, 2MASS J03434461+3208177, 44989782469822, 11.92911148071289, 11.097684860229492, 10.680562019348145, Q1JH ,  6.193839278875612,    ,  ,
12, 2MASS J03434788+3217567, 44989782442085, 12.52883529663086, 11.694777488708496, 11.353951454162598, Q2   ,  1.6967421860722771,    ,  ,
13, 2MASS J03434792+3218461, 44989782442360, 13.628983497619629, 12.895454406738281, 12.49227237701416, Q2   ,  0.6367719772963496,    ,  ,
14, 2MASS J03434875+3207332, 44989782469686, 12.514294624328613, 11.755475997924805, 11.435602188110352, Q0   ,  1.4161830727570976,    ,  ,
15, 2MASS J03434939+3210398, 44989782469660, 12.667866706848145, 11.934713363647461, 11.58806324005127, Q2   ,  2.681643816380719,    ,  ,
16, 2MASS J03435208+3203398, 44989782469563, 13.78062915802002, 13.077218055725098, 12.659497261047363, Q2   ,  0.6418347327537786,    ,  ,
17, 2MASS J03435379+3207303, 44989782469500, 13.760868072509766, 12.969006538391113, 12.5377836227417, Q0   ,  0.9465878555198121,    ,  ,
18, 2MASS J03435463+3200298, 44989782469466, 12.536006927490234, 11.816929817199707, 11.381125450134277, Q2   ,  0.5887113084980086,    ,  ,
19, 2MASS J03435619+3208362, 44989782469358, 12.69477367401123, 11.87612247467041, 11.524893760681152, Q2   ,  1.3079359266493054,    ,  ,
20, 2MASS J03435759+3201373, 44989782469472, 14.55135440826416, 11.972526550292969, 10.34463119506836, Q0   ,  2.1387684142667482,    ,  ,
21, 2MASS J03435856+3217275, 44989782441966, 12.058074951171875, 11.214391708374023, 10.6480712890625, Q1JH ,  5.051363760964912,    ,  ,
22, 2MASS J03435890+3211270, 44989782469249, 12.190415382385254, 11.262107849121094, 10.557336807250977, Q1JH ,  13.510721443525327,    ,  ,
23, 2MASS J03435907+3214213, 44989782440945, 13.385988235473633, 12.416376113891602, 11.538345336914062, Q2   ,  16.965157849049707,    ,  ,
24, 2MASS J03435925+3202502, 44989782469470, 17.936702728271484, 16.91332244873047, 15.929305076599121, Q-1  ,  -0.11609679460525513,    ,  ,
25, 2MASS J03435953+3215551, 44989782441498, 13.062259674072266, 12.086968421936035, 11.673791885375977, Q0   ,  7.6730771427266085,    ,  ,
26, 2MASS J03435964+3201539, 44989782469468, 14.577497482299805, 11.649455070495605, 9.476320266723633, Q0   ,  27.989583333333332,    ,  ,
27, 2MASS J03435970+3214028, 44989782440832, 12.18745231628418, 11.329306602478027, 11.001991271972656, Q2   ,  2.9396456763857888,    ,  ,
28, 2MASS J03440216+3219399, 44989782442720, 12.437320709228516, 11.645499229431152, 11.329035758972168, Q2   ,  10.78933376736111,    ,  ,
29, 2MASS J03440364+3205205, 44989782469082, 15.455129623413086, 13.775260925292969, 12.82228946685791, Q0   ,  1.6512642654718137,    ,  ,
30, 2MASS J03440410+3207170, 44989782469076, 13.008435249328613, 12.178949356079102, 11.807112693786621, Q2   ,  2.999491772620506,    ,  ,
31, 2MASS J03440486+3157393, 44989782426765, 17.690828323364258, 14.7286958694458, 12.978031158447266, Q1JH ,  0.475756193462171,    ,  ,
32, 2MASS J03440558+3219309, 44989782442677, 14.191800117492676, 13.423489570617676, 12.998941421508789, Q2   ,  0.70798675358644,    ,  ,
33, 2MASS J03440613+3207070, 44989782469002, 13.556558609008789, 12.73287582397461, 12.23453140258789, Q0   ,  5.259485677083333,    ,  ,
34, 2MASS J03440678+3207540, 44989782468951, 12.981118202209473, 12.136842727661133, 11.594285011291504, Q2   ,  3.4222914751838234,    ,  ,
35, 2MASS J03440920+3202376, 44989782468840, 15.149389266967773, 13.58315658569336, 12.317121505737305, Q0   ,  11.991171045241012,    ,  ,
36, IC 348 IRS J03441087+3212147, 44989782468654, 19.241939544677734, 18.437631607055664, 17.596906661987305, Q1K  ,  -0.16412091255187988,    ,  ,
37, 2MASS J03441125+3206121, 44989782468681, 12.380355834960938, 11.540702819824219, 11.18559455871582, Q2   ,  1.3591374415977326,    ,  ,
38, 2MASS J03441143+3219401, 44989782442714, 12.459661483764648, 11.719460487365723, 11.380707740783691, Q0   ,  2.4312296192548426,    ,  ,
39, 2MASS J03441361+3215542, 44989782441471, 13.174967765808105, 12.029346466064453, 11.474100112915039, Q2   ,  5.604501824629933,    ,  ,
40, 2MASS J03441586+3218396, 44989782442330, 13.959345817565918, 13.35076904296875, 13.015140533447266, Q2   ,  0.21009273417511878,    ,  ,
41, 2MASS J03441791+3212203, 44989782468191, 12.084615707397461, 11.365057945251465, 11.036022186279297, Q2   ,  3.1217659345639293,    ,  ,
42, 2MASS J03441810+3210534, 44989782468128, 14.874540328979492, 13.035565376281738, 11.812124252319336, Q2   ,  81.18137893178104,    ,  ,
43, 2MASS J03441820+3209593, 44989782468135, 13.30352783203125, 12.48794174194336, 11.928838729858398, Q2   ,  27.11777471405229,    ,  ,
44, 2MASS J03441857+3212530, 44989782440467, 14.280158042907715, 12.764120101928711, 11.47734546661377, Q-1  ,  51.4203398733428,    ,  ,
45, IC 348 IRS J03441925+3207347, 44989782468065, nan, nan, nan, Q-1  ,  nan,    ,  ,
46, 2MASS J03441934+3156549, 44989782426343, 15.593679428100586, 13.891810417175293, 12.882257461547852, Q2   ,  2.2672231573807564,    ,  ,
47, 2MASS J03441959+3202247, 44989782468023, 14.745969772338867, 13.768200874328613, 13.181638717651367, Q2   ,  0.384519414964065,    ,  ,
48, 2MASS J03442001+3206455, 44989782467992, 13.498200416564941, 12.655288696289062, 12.221445083618164, Q0   ,  7.538760914522059,    ,  ,
49, 2MASS J03442017+3208565, 44989782467977, 12.659441947937012, 11.866962432861328, 11.440755844116211, Q2   ,  1.3891306359783497,    ,  ,
50, 2MASS J03442122+3201144, 44989782467858, 16.189104080200195, 14.295188903808594, 13.081094741821289, Q2   ,  0.5701014699499591,    ,  ,
51, 2MASS J03442125+3205024, 44989782467895, 12.69908618927002, 11.81144905090332, 11.378997802734375, Q2   ,  3.4680822035845584,    ,  ,
52, 2MASS J03442129+3211563, 44989782468045, 12.609312057495117, 11.737138748168945, 11.364967346191406, Q2   ,  1.4207557042439778,    ,  ,
53, 2MASS J03442155+3210174, 44989782467845, 12.522048950195312, 11.68043041229248, 11.300270080566406, Q2   ,  3.530381673177083,    ,  ,
54, 2MASS J03442166+3206248, 44989782467864, 12.505578994750977, 11.668031692504883, 11.300358772277832, Q2   ,  4.814948586856618,    ,  ,
55, 2MASS J03442176+3212312, 44989782467884, 13.068904876708984, 12.33266830444336, 11.971640586853027, Q0   ,  1.8271740141369046,    ,  ,
56, 2MASS J03442191+3212115, 44989782467885, 12.19987964630127, 11.43777847290039, 11.058334350585938, Q2   ,  0.9306493023641749,    ,  ,
57, 2MASS J03442232+3212007, 44989782467883, 12.449294090270996, 11.603137016296387, 11.181435585021973, Q0   ,  6.358875548917483,    ,  ,
58, 2MASS J03442257+3201536, 44989782467804, 12.10736083984375, 11.25339412689209, 10.832222938537598, Q1JH ,  1.4004289215686274,    ,  ,
59, 2MASS J03442297+3211572, 44989782467888, 12.501726150512695, 11.679550170898438, 11.337857246398926, Q2   ,  2.6017483979268787,    ,  ,
60, 2MASS J03442366+3206465, 44989782467731, 12.194626808166504, 11.436081886291504, 11.071840286254883, Q2   ,  3.735275065104166,    ,  ,
61, 2MASS J03442445+3201437, 44989782467648, 15.717764854431152, 14.694453239440918, 13.805112838745117, Q2   ,  3.1001774407679736,    ,  ,
62, 2MASS J03442457+3203571, 44989782467662, 12.798076629638672, 11.839887619018555, 11.377742767333984, Q2   ,  7.49200718698938,    ,  ,
63, 2MASS J03442457+3210030, 44989782467728, 14.193618774414062, 13.435038566589355, 13.014410018920898, Q0   ,  0.41505596684474566,    ,  ,
64, IC 348 IRS J03442550+3211312, 44989782470974, 13.462385177612305, 12.214258193969727, 11.112382888793945, Q-1  ,  30.42921665736607,    ,  ,
65, 2MASS J03442554+3206171, 44989782467694, 12.82508373260498, 11.674124717712402, 11.090471267700195, Q1JHK,  10.11682383219401,    ,  ,
66, 2MASS J03442557+3212299, 44989782467588, 11.844510078430176, 11.06715202331543, 10.762840270996094, Q0   ,  6.939351000816993,    ,  ,
67, 2MASS J03442555+3211307, 44989782467584, 12.585430145263672, 11.74722671508789, 11.34988021850586, Q0   ,  14.680783535571807,    ,  ,
68, 2MASS J03442668+3208203, 44989782467515, 12.940871238708496, 11.646017074584961, 10.819979667663574, Q0   ,  13.730752782883986,    ,  ,
69, 2MASS J03442702+3204436, 44989782467621, 11.922204971313477, 11.192717552185059, 10.87591552734375, Q1JH ,  2.9804477556377433,    ,  ,
70, 2MASS J03442724+3214209, 44989782440915, 13.061896324157715, 12.025556564331055, 11.342700004577637, Q2   ,  25.023049159356724,    ,  ,
71, 2MASS J03442787+3207316, 44989782467427, 12.091485023498535, 11.32300090789795, 10.963430404663086, Q1JH ,  0.4485656139897365,    ,  ,
72, 2MASS J03442789+3227189, 44989782485228, 12.814325332641602, 11.868622779846191, 11.18453311920166, Q2   ,  16.199892131331698,    ,  ,
73, 2MASS J03442812+3216002, 44989782441551, 12.170928955078125, 11.37630558013916, 11.017813682556152, Q2   ,  6.258291903409091,    ,  ,
