i, Name, SOURCEID, J, H, K, Q,  S,  exclude?,  notes,  
74, 2MASS J03442842+3211225, 44989782467354, 14.430438995361328, 12.662714958190918, 11.745729446411133, Q2   ,  2.8228612164266744,    ,  ,
75, 2MASS J03442851+3159539, 44989782467389, 12.004315376281738, 11.223509788513184, 10.794574737548828, Q1JH ,  4.741704005821078,    ,  ,
76, 2MASS J03442894+3201378, 44989782467326, 15.568285942077637, 13.607129096984863, 12.315000534057617, Q2   ,  20.11071857128268,    ,  ,
77, 2MASS J03442922+3201157, 44989782467298, 14.381298065185547, 12.993600845336914, 12.140199661254883, Q1JHK,  2.5300913293377247,    ,  ,
78, 2MASS J03442997+3219227, 44989782442590, 12.444804191589355, 11.636191368103027, 11.212961196899414, Q0   ,  2.7643521849872075,    ,  ,
79, 2MASS J03442999+3209210, 44989782467186, 13.46935749053955, 12.023449897766113, 11.290539741516113, Q2   ,  1.6533047545189952,    ,  ,
80, 2MASS J03443030+3211353, 44989782467148, 16.584476470947266, 15.361406326293945, 14.329559326171875, Q2   ,  17.06468609579248,    ,  ,
81, 2MASS J03443030+3207426, 44989782467167, 13.9382963180542, 12.721714973449707, 12.096087455749512, Q2   ,  1.2072107651654411,    ,  ,
82, 2MASS J03443054+3206297, 44989782467284, 12.817037582397461, 11.8960542678833, 11.494485855102539, Q0   ,  0.8859308778850081,    ,  ,
83, 2MASS J03443112+3218484, 44989782442619, 14.585054397583008, 13.437101364135742, 12.617827415466309, Q2   ,  19.985108849597953,    ,  ,
84, IC 348 IRS J03443118+3205588, 44989782467280, 15.14007568359375, 13.65375804901123, 12.31613826751709, Q2   ,  29.402937346813722,    ,  ,
85, 2MASS J03443134+3209291, 44989782467085, 14.135697364807129, 13.509222030639648, 13.01671314239502, Q2   ,  0.43946798486647265,    ,  ,
86, 2MASS J03443134+3210469, 44989782467089, 13.385724067687988, 12.411516189575195, 11.77902603149414, Q2   ,  3.180196525224673,    ,  ,
87, 2MASS J03443137+3200140, 44989782467127, 14.075101852416992, 12.36924934387207, 11.275198936462402, Q0   ,  16.09639565461601,    ,  ,
88, 2MASS J03443257+3208558, 44989782467216, 12.029426574707031, 11.16175365447998, 10.730236053466797, Q1J  ,  1.9348542390046295,    ,  ,
89, 2MASS J03443259+3208424, 44989782467225, 11.235464096069336, 10.478253364562988, 10.101763725280762, Q0   ,  1.2844881543926163,    ,  ,
90, 2MASS J03443276+3209157, 44989782467017, 12.313847541809082, 11.444548606872559, 11.02210521697998, Q2   ,  2.5894237094455295,    ,  ,
91, 2MASS J03443321+3215290, 44989782441368, 12.43641471862793, 11.644697189331055, 11.3193941116333, Q2   ,  1.33603012352659,    ,  ,
92, 2MASS J03443330+3209396, 44989782467215, 12.391905784606934, 11.447159767150879, 10.944164276123047, Q0   ,  17.70784983915441,    ,  ,
93, 2MASS J03443379+3158302, 44989782425791, 13.447500228881836, 12.40667724609375, 11.760103225708008, Q1J  ,  20.104569284539473,    ,  ,
94, 2MASS J03443398+3208541, 44989782467212, 11.805118560791016, 11.02546215057373, 10.717247009277344, Q1JH ,  6.8851374208537575,    ,  ,
95, 2MASS J03443412+3216357, 44989782441681, 14.09792709350586, 13.225933074951172, 12.547471046447754, Q2   ,  14.305992438779239,    ,  ,
96, 2MASS J03443426+3210497, 44989782466936, 12.089507102966309, 11.207110404968262, 10.791260719299316, Q1JH ,  1.3570801798502603,    ,  ,
97, 2MASS J03443428+3212407, 44989782440414, 15.51402759552002, 13.562512397766113, 12.162127494812012, Q0   ,  12.059181787634408,    ,  ,
98, 2MASS J03443438+3219569, 44989782442807, 13.781177520751953, 13.126224517822266, 12.793876647949219, Q2   ,  0.9269623338130482,    ,  ,
99, 2MASS J03443468+3216000, 44989782441543, 14.498919486999512, 12.771013259887695, 11.530555725097656, Q0   ,  39.95215700383772,    ,  ,
100, 2MASS J03443470+3215544, 44989782441541, 13.247883796691895, 12.130574226379395, 11.525809288024902, Q0   ,  1.535503722073739,    ,  ,
101, 2MASS J03443481+3156552, 44989782425748, 12.864408493041992, 12.031641006469727, 11.535812377929688, Q2   ,  14.52350031980994,    ,  ,
102, 2MASS J03443482+3211180, 44989782466902, 12.715982437133789, 11.937790870666504, 11.546582221984863, Q2   ,  0.6433582679898131,    ,  ,
103, 2MASS J03443486+3209535, 44989782467211, 12.524935722351074, 11.67735767364502, 11.233527183532715, Q0   ,  1.2584008110894096,    ,  ,
104, 2MASS J03443498+3215311, 44989782441371, 13.236580848693848, 12.369222640991211, 11.956631660461426, Q2   ,  1.8151471768206324,    ,  ,
105, 2MASS J03443537+3207362, 44989782466896, 12.011536598205566, 11.035630226135254, 10.459566116333008, Q0   ,  13.900411368974673,    ,  ,
106, 2MASS J03443568+3203035, 44989782466859, 13.490684509277344, 12.39754867553711, 11.646963119506836, Q2   ,  49.655027701184636,    ,  ,
107, 2MASS J03443588+3215533, 44989782454904, 13.052387237548828, 12.288969039916992, 11.935023307800293, Q-1  ,  nan,    ,  ,
108, IC 348 IRS J03443589+3215042, 44989782441239, 13.840330123901367, 12.691381454467773, 12.078217506408691, Q0   ,  3.699981689453125,    ,  ,
109, 2MASS J03443588+3215028, 44989782454882, 13.26006031036377, nan, 11.548110961914062, Q-1  ,  nan,    ,  ,
110, 2MASS J03443712+3156546, 44989782450957, 14.111157417297363, 12.756399154663086, 12.078747749328613, Q2   ,  1.35059814453125,    ,  ,
111, 2MASS J03443739+3212241, 44989782460836, nan, nan, nan, Q-1  ,  nan,    ,  ,
112, 2MASS J03443741+3209009, 44989782495432, 12.439943313598633, 11.440757751464844, 10.858762741088867, Q1JH ,  28.6436149691358,    ,  ,
113, 2MASS J03443755+3211557, 44989782494531, nan, nan, nan, Q-1  ,  nan,    ,  ,
114, 2MASS J03443800+3211370, 44989782494621, nan, nan, 12.012678146362305, Q-1  ,  nan,    ,  ,
115, 2MASS J03443838+3212597, 44989782455164, 12.766592025756836, 11.943652153015137, 11.627409934997559, Q2   ,  2.058122268830887,    ,  ,
116, 2MASS J03443854+3208006, 44989782495769, 11.885785102844238, 10.91912841796875, 10.44507884979248, Q0   ,  2.673648718631629,    ,  ,
117, 2MASS J03443860+3205064, 44989782496441, 12.439547538757324, 11.57657241821289, 11.164419174194336, Q2   ,  0.22222343213630447,    ,  ,
118, 2MASS J03443869+3208567, 44989782495433, 12.378286361694336, 11.595550537109375, 11.256763458251953, Q1J  ,  0.5494399562026515,    ,  ,
119, 2MASS J03443878+3219056, 44989782455241, 13.204257011413574, 12.422514915466309, 12.052114486694336, Q2   ,  2.075274932078826,    ,  ,
120, 2MASS J03443919+3209448, 44989782495298, 12.455390930175781, 11.490559577941895, 11.021661758422852, Q2   ,  6.747542317708334,    ,  ,
121, 2MASS J03443970+3219288, 44989782455363, 13.650360107421875, 12.537403106689453, 11.913174629211426, Q2   ,  0.3804396409254807,    ,  ,
122, 2MASS J03443979+3218041, 44989782455418, 12.14671516418457, 11.318285942077637, 10.801474571228027, Q0   ,  3.683015457307449,    ,  ,
123, 2MASS J03443985+3215580, 44989782455348, 13.433785438537598, 12.586380958557129, 12.149665832519531, Q2   ,  0.875313729950876,    ,  ,
124, 2MASS J03444078+3213067, 44989782455501, 13.565828323364258, 12.740806579589844, 12.296586036682129, Q2   ,  2.1493111042061237,    ,  ,
125, 2MASS J03444089+3217190, 44989782455478, 13.91301441192627, 12.752272605895996, 12.135497093200684, Q2   ,  1.314216228446575,    ,  ,
126, 2MASS J03444116+3210100, 44989782495011, 13.683211326599121, 12.435408592224121, 11.777348518371582, Q2   ,  17.614899976325756,    ,  ,
127, 2MASS J03444207+3209009, 44989782495347, 12.272787094116211, 11.287701606750488, 10.707998275756836, Q0   ,  2.853377463600852,    ,  ,
128, IC 348 IRS J03444215+3209022, 44989782495349, 12.6567964553833, 11.477309226989746, 10.746354103088379, Q0   ,  26.345371685606057,    ,  ,
129, 2MASS J03444228+3212280, 44989782494413, 16.176748275756836, 14.455500602722168, 13.348645210266113, Q0   ,  0.6078018487668504,    ,  ,
130, 2MASS J03444256+3210025, 44989782495059, 13.626832962036133, 12.503538131713867, 11.842484474182129, Q1JHK,  1.3765329071969696,    ,  ,
131, 2MASS J03444261+3206194, 44989782496114, 12.486963272094727, 11.768847465515137, 11.53936767578125, Q2   ,  1.8967114997632575,    ,  ,
132, 2MASS J03444328+3217570, 44989782455633, 14.086116790771484, 13.037958145141602, 12.438363075256348, Q2   ,  5.011774236505682,    ,  ,
133, 2MASS J03444351+3207427, 44989782495714, 12.181299209594727, 11.024214744567871, 10.518580436706543, Q1JH ,  3.3418379350142047,    ,  ,
134, 2MASS J03444376+3210304, 44989782494945, 14.505756378173828, 13.25355052947998, 12.436622619628906, Q2   ,  85.22933830492424,    ,  ,
135, 2MASS J03444458+3208125, 44989782495601, 12.906427383422852, 11.799287796020508, 11.099324226379395, Q1J  ,  14.385141453598486,    ,  ,
136, 2MASS J03444472+3204024, 44989782496662, 11.038116455078125, 10.20247745513916, 9.570693969726562, Q1J  ,  5.705052992876838,    ,  ,
137, 2MASS J03444484+3211055, 44989782494793, 13.074668884277344, 12.182992935180664, 11.800084114074707, Q2   ,  0.44440973455255683,    ,  ,
138, 2MASS J03444508+3214130, 44989782455769, 13.53349781036377, 12.289186477661133, 11.601347923278809, Q0   ,  1.4678677645596592,    ,  ,
139, 2MASS J03444631+3211165, 44989782494721, 13.954058647155762, 12.596071243286133, 11.946340560913086, Q2   ,  3.243398407359182,    ,  ,
140, 2MASS J03444760+3210555, 44989782494834, 13.436197280883789, 12.281932830810547, 11.68392562866211, Q2   ,  0.1597662723425663,    ,  ,
141, 2MASS J03444827+3158170, 44989782450723, 14.801777839660645, 13.390889167785645, 12.597249031066895, Q2   ,  7.07269287109375,    ,  ,
142, 2MASS J03444856+3157276, 44989782450865, 14.231829643249512, 13.071072578430176, 12.446755409240723, Q2   ,  0.8747161229451497,    ,  ,
143, 2MASS J03444881+3213218, 44989782456214, 13.050570487976074, 12.291581153869629, 11.943111419677734, Q2   ,  3.880891433869949,    ,  ,
144, 2MASS J03445096+3216093, 44989782456522, 12.280491828918457, 11.518339157104492, 11.138427734375, Q2   ,  4.418783476858428,    ,  ,
145, IC 348 IRS J03445200+3226255, 44989782501404, 13.947967529296875, 12.861130714416504, 12.049220085144043, Q0   ,  35.67286839978448,    ,  ,
146, 2MASS J03445205+3158252, 44989782450711, 13.767601013183594, 12.479341506958008, 11.826318740844727, Q2   ,  4.0258134206136065,    ,  ,
147, 2MASS J03445209+3204467, 44989782496501, 13.727668762207031, 12.927732467651367, 12.521568298339844, Q2   ,  1.888519657019413,    ,  ,
148, 2MASS J03445319+3200067, 44989782497349, 18.968021392822266, 15.320624351501465, 13.320310592651367, Q1HK ,  2.902854707505968,    ,  ,
149, 2MASS J03445374+3206519, 44989782495943, 13.29720401763916, 12.410548210144043, 11.949519157409668, Q2   ,  2.917278682824337,    ,  ,
150, 2MASS J03445611+3205564, 44989782496213, 13.039366722106934, 12.303998947143555, 11.9965238571167, Q2   ,  1.9618459990530301,    ,  ,
151, 2MASS J03445919+3217319, 44989782457274, 13.505863189697266, 12.250518798828125, 11.623482704162598, Q2   ,  1.7872362968249198,    ,  ,
152, 2MASS J03450108+3203200, 44989782496791, 13.981765747070312, 13.341020584106445, 13.002164840698242, Q2   ,  0.6368381829909335,    ,  ,
153, 2MASS J03450148+3212288, 44989782494448, 13.222648620605469, 12.470197677612305, 12.096715927124023, Q0   ,  2.2741378463424358,    ,  ,
154, 2MASS J03450158+3213167, 44989782457356, 14.407363891601562, 13.519706726074219, 13.012643814086914, Q2   ,  0.8561105114674707,    ,  ,
155, 2MASS J03450427+3203056, 44989782496851, 14.065166473388672, 13.36977767944336, 12.991756439208984, Q0   ,  0.7758896336410985,    ,  ,
156, 2MASS J03450464+3215010, 44989782457514, 13.346746444702148, 12.382789611816406, 11.848224639892578, Q1JHK,  1.2434906788361377,    ,  ,
157, 2MASS J03450521+3209544, 44989782495089, 13.134160995483398, 12.276562690734863, 11.885064125061035, Q2   ,  1.3657774029356058,    ,  ,
158, 2MASS J03450577+3203080, 44989782496858, 11.710396766662598, 10.963957786560059, 10.693111419677734, Q0   ,  0.9113991477272727,    ,  ,
159, 2MASS J03451278+3203167, 44989782496809, 14.49397087097168, 12.871654510498047, 12.020885467529297, Q2   ,  2.220467307350852,    ,  ,
160, IC 348 IRS J03451350+3224347, 44989782457960, 14.423916816711426, 13.535969734191895, 12.903693199157715, Q1J  ,  3.9885932074652777,    ,  ,
161, 2MASS J03451380+3212098, 44989782494505, 16.97015380859375, 15.501086235046387, 14.403706550598145, Q2   ,  16.176069779829543,    ,  ,
162, 2MASS J03451782+3212058, 44989782494526, 13.690921783447266, 12.86135196685791, 12.400728225708008, Q2   ,  2.390702235845872,    ,  ,
163, 2MASS J03451799+3219330, 44989782458228, 13.300378799438477, 12.448936462402344, 12.025224685668945, Q2   ,  1.179101192589962,    ,  ,
164, 2MASS J03452021+3217223, 44989782459190, 13.787568092346191, 12.782172203063965, 12.218606948852539, Q1K  ,  1.552172420000789,    ,  ,
165, 2MASS J03452046+3206344, 44989782496064, 11.130441665649414, 10.28005599975586, 9.62010383605957, Q1J  ,  6.399280689380786,    ,  ,
166, 2MASS J03452090+3209157, 44989782495270, 13.759777069091797, 12.954366683959961, 12.548571586608887, Q2   ,  1.3629024212176983,    ,  ,
167, 2MASS J03452214+3202040, 44989782497023, 13.293479919433594, 12.64844036102295, 12.321660995483398, Q2   ,  0.9197611490885416,    ,  ,
168, 2MASS J03452514+3209301, 44989782495220, 12.054719924926758, 11.197371482849121, 10.635652542114258, Q1JH ,  6.019870087594697,    ,  ,
169, 2MASS J03452871+3204183, 44989782496585, 13.785323143005371, 12.546539306640625, 11.96682071685791, Q2   ,  3.5553267045454544,    ,  ,
170, 2MASS J03453230+3203150, 44989782496821, 12.884482383728027, 12.182103157043457, 11.916997909545898, Q2   ,  4.307031702112268,    ,  ,
171, 2MASS J03453545+3203259, 44989782496783, 13.12506103515625, 12.487868309020996, 12.164846420288086, Q2   ,  1.1983503861860796,    ,  ,
172, 2MASS J03453563+3159544, 44989782497379, 13.636544227600098, 12.506397247314453, 11.898871421813965, Q2   ,  2.404534172289299,    ,  ,
173, IC 348 IRS J03455825+3226475, 44989782480555, 13.586431503295898, 12.719941139221191, 12.124292373657227, Q2   ,  24.193284377553102,    ,  ,
