index,SOURCEID,shortname,A/S/C,RA_deg,DE_deg,J_mag,H_mag,K_mag,SpT,Stetson_JHK,range_J,range_H,range_K,vanilla_period_J,vanilla_per_amp_J,vanilla_per_fap_J,vanilla_period_H,vanilla_per_amp_H,vanilla_per_fap_H,vanilla_period_K,vanilla_per_amp_K,vanilla_per_fap_K,poly2_period_J,poly2_per_amp_J,poly2_per_fap_J,poly2_period_H,poly2_per_amp_H,poly2_per_fap_H,poly2_period_K,poly2_per_amp_K,poly2_per_fap_K,poly4_period_J,poly4_per_amp_J,poly4_per_fap_J,poly4_period_H,poly4_per_amp_H,poly4_per_fap_H,poly4_period_K,poly4_per_amp_K,poly4_per_fap_K,Periodic?,Period,Amp,Method,Best Band
10,4.49898E+13,ic_010A_M4.0_Q0,A,55.86560477,32.14206366,13.82025528,13.06303501,12.66980171,4,0.482224388,0.022714615,0.019479561,0.020116711,0.06,6.92E-03,2.63E-03,0.33,6.23E-03,1.62E-02,0.26,7.77E-03,2.10E-02,0.06,6.83E-03,9.69E-03,0.07,4.84E-03,3.63E-01,0.21,7.24E-03,4.79E-02,0.06,7.00E-03,3.09E-03,0.07,4.66E-03,3.39E-01,0.21,7.08E-03,4.20E-02,,,,,
11,4.49898E+13,ic_011A_M1.8_Q1J,A,55.86750255,32.03308875,11.76102066,10.776577,10.13160515,1.75,14.74549411,0.233541107,0.198827648,0.15995121,0.10,9.26E-02,1.48E-03,0.50,7.22E-02,3.55E-04,0.50,6.40E-02,1.71E-04,0.20,7.95E-02,1.32E-03,0.17,5.13E-02,7.06E-03,0.04,3.40E-02,5.75E-02,0.20,7.93E-02,1.40E-03,0.20,5.01E-02,8.70E-03,0.08,3.95E-02,6.87E-02,,,,,
12,4.49898E+13,ic_012A_M4.0_Q1J,A,55.86854883,32.08494079,15.60837078,14.09854984,12.9689064,4,13.91147377,0.204702187,0.245767498,0.268403721,1.84,6.17E-02,5.66E-03,0.99,5.72E-02,3.11E-02,0.99,6.66E-02,3.59E-02,1.84,6.06E-02,8.88E-03,0.10,5.47E-02,7.51E-02,2.17,6.21E-02,1.38E-01,1.84,5.96E-02,5.83E-03,0.10,5.64E-02,4.12E-02,0.15,6.09E-02,1.50E-01,,,,,
13,4.49898E+13,ic_013S_M2.0_Q1JHK,S,55.87272041,31.87205507,14.90842438,13.64457798,13.08856773,2,0.753202342,0.176051521,0.118683624,0.071709442,0.50,8.37E-02,1.36E-14,0.50,5.41E-02,1.52E-13,0.99,4.17E-02,8.55E-08,0.11,8.00E-03,3.46E-02,34.13,8.42E-03,7.43E-03,0.99,2.19E-02,1.15E-11,0.11,8.05E-03,2.98E-02,0.97,8.71E-03,2.28E-03,0.98,1.57E-02,4.59E-08,,,,,
14,4.49898E+13,ic_014C_M7.5_Q2,C,55.88075632,32.0055021,16.29556656,15.58030128,14.99074936,7.5,0.330470206,0.034595108,0.036757946,0.037635994,0.39,1.04E-02,5.15E-02,0.13,1.01E-02,8.39E-02,0.10,1.00E-02,1.36E-02,0.39,1.23E-02,2.69E-02,0.08,1.23E-02,1.04E-01,0.06,9.96E-03,6.10E-02,0.39,1.19E-02,3.23E-02,0.65,1.14E-02,2.03E-02,0.06,9.37E-03,7.14E-02,,,,,
15,4.49898E+13,ic_015A_M5.0_Q1J,A,55.89021303,32.02920808,13.27699852,12.65670204,12.22311783,5,0.652905628,0.026141644,0.031270981,0.028275967,51.02,9.76E-03,2.45E-04,0.33,8.72E-03,6.28E-02,0.18,7.79E-03,5.56E-02,1.01,1.08E-02,2.72E-02,0.07,1.01E-02,1.36E-01,0.08,7.79E-03,1.98E-02,1.01,1.05E-02,4.10E-02,0.07,9.61E-03,1.14E-01,0.08,7.71E-03,2.44E-02,,,,,
16,4.49898E+13,ic_016C_M3.0_Q2,C,55.90129647,32.06207603,15.471591,13.60409737,12.47901726,3,0.910968257,0.024774933,0.025048828,0.02364502,0.33,8.69E-03,4.68E-03,0.88,9.91E-03,1.05E-06,0.32,8.52E-03,2.06E-03,0.07,8.06E-03,2.91E-02,7.21,1.03E-02,2.13E-05,0.88,9.45E-03,2.21E-04,0.07,7.68E-03,7.78E-02,7.21,1.02E-02,1.86E-05,0.88,8.94E-03,8.91E-04,,,,,
17,4.49898E+13,ic_017C_M9.8_Q2,C,55.92671338,32.1590777,18.32984734,17.07959938,15.97389984,9.75,0.675539353,0.205726624,0.135757828,0.072169113,0.05,5.91E-02,6.78E-02,0.04,4.60E-02,1.02E-03,0.50,2.35E-02,2.10E-02,0.07,6.57E-02,3.89E-02,0.17,3.74E-02,2.67E-02,0.05,2.03E-02,1.24E-01,0.05,6.26E-02,3.43E-02,0.05,3.02E-02,1.48E-01,0.05,1.92E-02,1.04E-01,,,,,
18,4.49898E+13,ic_018A_M0.8_Q1JH,A,55.93590182,32.13824366,11.92911148,11.09768486,10.68056202,0.75,6.193839279,0.07681942,0.084440041,0.128056526,0.04,2.55E-02,8.95E-04,0.99,3.47E-02,4.54E-04,0.99,5.45E-02,2.02E-04,0.04,2.41E-02,1.09E-03,0.04,3.07E-02,1.09E-05,95.24,5.13E-02,7.45E-05,0.04,2.08E-02,7.96E-03,0.04,2.56E-02,1.07E-04,1.05,2.25E-02,1.30E-01,,,,,
19,4.49898E+13,ic_019C_M5.2_Q2,C,55.93843818,32.0901919,15.19851494,14.57074928,14.10290241,5.25,0.575996499,0.018057442,0.024558449,0.018009758,16.75,7.12E-03,1.35E-05,0.94,8.13E-03,4.66E-04,16.98,8.03E-03,1.50E-04,17.21,6.46E-03,1.72E-04,0.08,7.81E-03,6.08E-03,16.75,6.36E-03,1.95E-02,17.21,6.49E-03,1.43E-04,0.08,7.97E-03,2.43E-03,16.81,6.34E-03,1.88E-02,,,,,
20,4.49898E+13,ic_020C_M6.5_Q2,C,55.93897802,31.92385595,16.42342567,15.8035202,15.25983047,6.5,0.30436305,0.045087433,0.042387962,0.035990334,0.06,1.38E-02,1.77E-02,0.13,1.18E-02,1.54E-02,28.41,1.06E-02,3.84E-02,0.05,1.32E-02,1.06E-02,0.13,1.10E-02,1.63E-01,0.06,1.07E-02,1.08E-01,0.05,1.32E-02,8.88E-03,0.13,1.11E-02,1.46E-01,0.14,1.06E-02,9.06E-02,,,,,
21,4.49898E+13,ic_021C_M5.8_Q2,C,55.94352291,32.18497983,14.90062332,14.25134659,13.69801426,5.75,0.58705927,0.020581818,0.021898651,0.018337631,2.46,7.01E-03,2.09E-04,2.46,7.28E-03,6.58E-04,0.04,5.57E-03,4.87E-03,2.47,7.23E-03,2.86E-04,2.47,7.33E-03,6.67E-03,0.05,5.68E-03,8.99E-02,2.47,6.94E-03,8.78E-04,2.47,7.05E-03,1.32E-02,0.05,5.42E-03,1.32E-01,,,,,
22,4.49898E+13,ic_022C_M7.2_Q2,C,55.94849613,32.15068705,14.71244526,14.11582851,13.58600998,7.25,0.284568089,0.017180824,0.017115784,0.016596794,0.50,6.05E-03,1.82E-04,0.10,5.55E-03,4.69E-03,0.21,4.68E-03,5.95E-02,0.10,3.61E-03,3.96E-02,0.09,5.62E-03,4.93E-03,0.05,5.56E-03,4.40E-02,0.10,3.49E-03,6.48E-02,0.10,5.56E-03,1.01E-02,0.05,5.50E-03,3.53E-02,,,,,
23,4.49898E+13,ic_023C_M1.5_Q2,C,55.94953928,32.2990982,12.5288353,11.69477749,11.35395145,1.5,1.696742186,0.0333395,0.032847404,0.032876968,1.01,9.82E-03,6.02E-03,0.24,9.45E-03,9.47E-03,0.08,9.84E-03,1.56E-02,0.50,8.37E-03,3.89E-02,0.32,8.39E-03,7.82E-02,0.90,6.95E-03,6.84E-02,0.50,8.31E-03,4.00E-02,0.32,8.45E-03,7.37E-02,0.08,6.22E-03,3.62E-01,,,,,
24,4.49898E+13,ic_024C_M4.0_Q2,C,55.94968874,32.31281524,13.6289835,12.89545441,12.49227238,4,0.636771977,0.040709877,0.022052765,0.027384567,95.24,1.26E-02,7.51E-04,0.06,7.65E-03,3.42E-02,0.05,7.74E-03,3.17E-03,1.02,1.04E-02,4.31E-03,0.61,5.91E-03,1.59E-01,0.05,7.98E-03,1.18E-02,1.02,1.04E-02,3.76E-03,0.61,5.98E-03,5.56E-02,0.05,7.76E-03,1.12E-02,,,,,
25,4.49898E+13,ic_025C_M5.0_Q2,C,55.95260864,32.23073664,13.65315819,13.0465498,12.64042187,5,1.501447533,0.037595749,0.030352592,0.030096054,0.07,1.01E-02,4.54E-02,0.64,1.03E-02,7.04E-04,2.28,1.05E-02,3.40E-04,0.05,9.85E-03,5.38E-02,0.16,1.17E-02,9.61E-04,2.28,1.02E-02,2.16E-02,0.05,9.87E-03,3.91E-02,0.16,1.17E-02,9.55E-04,2.28,1.02E-02,2.10E-02,,,,,
