index,SOURCEID,shortname,A/S/C,RA_deg,DE_deg,J_mag,H_mag,K_mag,SpT,Stetson_JHK,range_J,range_H,range_K,vanilla_period_J,vanilla_per_amp_J,vanilla_per_fap_J,vanilla_period_H,vanilla_per_amp_H,vanilla_per_fap_H,vanilla_period_K,vanilla_per_amp_K,vanilla_per_fap_K,poly2_period_J,poly2_per_amp_J,poly2_per_fap_J,poly2_period_H,poly2_per_amp_H,poly2_per_fap_H,poly2_period_K,poly2_per_amp_K,poly2_per_fap_K,poly4_period_J,poly4_per_amp_J,poly4_per_fap_J,poly4_period_H,poly4_per_amp_H,poly4_per_fap_H,poly4_period_K,poly4_per_amp_K,poly4_per_fap_K
11,44989782489969,ic_011A_M1.8_Q1J,A,55.86750254641251,32.03308875459806,11.76102066040039,10.77657699584961,10.13160514831543,1.75,14.745494106359647,0.2335411071777358,0.19882764816284215,0.15995121002197266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,44989782489939,ic_012A_M4.0_Q1J,A,55.86854883289138,32.08494079451081,15.608370780944824,14.098549842834473,12.96890640258789,4.0,13.911473767510774,0.2047021865844716,0.24576749801635778,0.26840372085571396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,44989782446602,ic_013S_M2.0_Q1JHK,S,55.872720405762934,31.87205507198155,14.908424377441406,13.644577980041504,13.088567733764648,2.0,0.753202342023753,0.1760515213012681,0.11868362426757884,0.07170944213867259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,44989782489794,ic_014C_M7.5_Q2,C,55.88075632196259,32.00550210195083,16.29556655883789,15.580301284790039,14.99074935913086,7.5,0.33047020572355423,0.03459510803222443,0.0367579460144043,0.03763599395751882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,44989782489696,ic_015A_M5.0_Q1J,A,55.89021302635205,32.029208075209745,13.276998519897461,12.656702041625977,12.22311782836914,5.0,0.6529056279346196,0.026141643524171698,0.03127098083496094,0.02827596664428711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,44989782470026,ic_016C_M3.0_Q2,C,55.90129647237928,32.06207603028988,15.471590995788574,13.604097366333008,12.47901725769043,3.0,0.9109682569316788,0.02477493286132848,0.02504882812499787,0.02364501953125142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,44989782469858,ic_017C_M9.8_Q2,C,55.92671338422342,32.159077700023445,18.32984733581543,17.079599380493164,15.973899841308594,9.75,0.675539353314568,0.20572662353515625,0.13575782775878764,0.0721691131591804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,44989782469822,ic_018A_M0.8_Q1JH,A,55.935901822249136,32.13824365799483,11.92911148071289,11.097684860229492,10.680562019348145,0.75,6.193839278875612,0.07681941986083984,0.08444004058837962,0.12805652618408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,44989782469771,ic_019C_M5.2_Q2,C,55.938438183781024,32.09019190497649,15.198514938354492,14.570749282836914,14.10290241241455,5.25,0.5759964986564287,0.018057441711425426,0.02455844879150426,0.018009757995603337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,44989782427133,ic_020C_M6.5_Q2,C,55.9389780157403,31.923855949594568,16.423425674438477,15.803520202636719,15.259830474853516,6.5,0.3043630499588815,0.04508743286132599,0.042387962341308594,0.03599033355713033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,44989782469734,ic_021C_M5.8_Q2,C,55.943522913307355,32.18497982617359,14.900623321533203,14.251346588134766,13.698014259338379,5.75,0.5870592703227124,0.02058181762695277,0.02189865112304723,0.01833763122558807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,44989782469715,ic_022C_M7.2_Q2,C,55.94849612778997,32.150687048130145,14.712445259094238,14.115828514099121,13.586009979248047,7.25,0.28456808850656146,0.017180824279783735,0.01711578369140554,0.01659679412841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,44989782442085,ic_023C_M1.5_Q2,C,55.94953927682177,32.29909819582296,12.52883529663086,11.694777488708496,11.353951454162598,1.5,1.6967421860722771,0.033339500427246094,0.03284740447998047,0.032876968383787286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,44989782442360,ic_024C_M4.0_Q2,C,55.949688735019706,32.31281524324321,13.628983497619629,12.895454406738281,12.49227237701416,4.0,0.6367719772963496,0.04070987701416051,0.022052764892578125,0.027384567260742898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,44989782440741,ic_025C_M5.0_Q2,C,55.95260864104769,32.23073663521528,13.653158187866211,13.046549797058105,12.640421867370605,5.0,1.5014475326091923,0.037595748901368964,0.03035259246826172,0.030096054077148438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
