index,SOURCEID,shortname,A/S/C,RA_deg,DE_deg,J_mag,H_mag,K_mag,SpT,Stetson_JHK,range_J,range_H,range_K,vanilla_period_J,vanilla_per_amp_J,vanilla_per_fap_J,vanilla_period_H,vanilla_per_amp_H,vanilla_per_fap_H,vanilla_period_K,vanilla_per_amp_K,vanilla_per_fap_K,poly2_period_J,poly2_per_amp_J,poly2_per_fap_J,poly2_period_H,poly2_per_amp_H,poly2_per_fap_H,poly2_period_K,poly2_per_amp_K,poly2_per_fap_K,poly4_period_J,poly4_per_amp_J,poly4_per_fap_J,poly4_period_H,poly4_per_amp_H,poly4_per_fap_H,poly4_period_K,poly4_per_amp_K,poly4_per_fap_K
0,44508746127015,ngc_000A_M2.5_Q1H,A,52.045902649896966,31.29144825735165,12.317328453063965,11.416049003601074,10.976200103759766,2.5,1.152610223412057,0.033959960937499645,0.03418445587158203,0.028774642944336293,0.49815474411344685,0.010632321155659541,0.00010649608351853675,24.212974172719935,0.009630783445134876,6.830212871028413e-05,24.50970179738562,0.008111057064206815,1.1240754037222053e-06,23.980715427657874,0.00864072554933777,0.0001582969339112406,24.27174352750809,0.009639557100274929,2.624450426818068e-07,24.390142276422765,0.008144194606937723,8.212457558857494e-07,24.09628514056225,0.008895158353254193,2.5030076661750694e-05,24.390142276422765,0.010224616445452266,3.985234006335731e-10,24.449775876120615,0.008177845495975463,4.727820979925926e-07
1,44508746126979,ngc_001C_M8.2_Q2,C,52.063295264282765,31.289945523658066,16.515056610107422,15.824037551879883,15.121696472167969,8.25,0.41300411500792567,0.07130088806152202,0.055653572082517755,0.0571569442749027,0.043472220410872155,0.015291587305207016,0.18975556432773644,0.10109034819030673,0.011918697283148294,0.0749555933878108,0.07114673601130764,0.013771223611834625,0.0029085139852755414,0.06874004697256116,0.014075467012589098,0.2686509674482883,0.10109034819030673,0.0119946019266619,0.06107752748485275,0.07114521747997847,0.012378785697594196,0.009910799527308585,0.4544815858443545,0.013469063112734235,0.23346434867930665,0.10109137013074537,0.012149084827475834,0.048218527975479236,0.0711457236498857,0.01216444156224098,0.009932924014495928
2,44508746098759,ngc_002A_M5.8_Q0,A,52.11839272596095,31.2742355333379,14.590139389038086,14.06614875793457,13.646990776062012,5.75,0.6379043528742523,0.034665584564208984,0.03383970260620117,0.0237922668457049,0.49867642414268853,0.016080518845787206,4.99495841747632e-10,0.9900948844884487,0.011002440149932182,3.609545636084285e-08,0.4991493627499917,0.005850095896704114,0.01117314239867535,0.4987510390689942,0.015842959895356716,2.628603737386283e-07,0.9893112716000528,0.010639272978228335,1.2993518625410956e-08,0.3325338631728296,0.00518182119405961,0.026713515323137236,0.10975697874364321,0.006514009769557342,0.02609177467544134,0.5046151452456645,0.007893171519809679,5.092020161793966e-05,0.056516417145645294,0.00487383015856341,0.04033173370310494
3,44508746098738,ngc_003A_M9.5_Q1K,A,52.12393239325014,31.255683640787705,18.758718490600586,18.02743148803711,17.25758934020996,9.5,-0.08774696375785852,0.3206768035888672,0.24230880737304972,0.22720565795898295,0.10137832860232494,0.06695359680983452,0.047202824521130074,0.055885982805674306,0.04990532709859746,0.0943914485002973,0.24691255144032923,0.04181845097772717,0.3034889865142014,0.10137935637357773,0.06511835515838692,0.07135241559580156,0.4743813251106895,0.04962085676077992,0.11095282424707982,1.5465447468811218,0.042962712396757266,0.26085559601371155,0.10137524541359583,0.061317702770799114,0.15124333433710982,0.05588535816143857,0.049828908903196065,0.061116623679061996,1.5465447468811218,0.042803835856521054,0.26939281029888845
4,44508746098719,ngc_004A_M8.0_Q0,A,52.12957164293435,31.284469842402903,17.055400848388672,15.30056095123291,13.979825973510742,8.0,0.6115748874100623,0.09025497436523366,0.056826305389403586,0.037652587890624645,0.9272098593725854,0.015121059648014976,0.00490800715509297,0.9282426745877037,0.018483900828515788,7.2023865427227375e-22,0.9279842551348675,0.010416417055415886,2.4483898845004583e-16,0.9272958395153315,0.015187952809391935,0.004258753574308792,0.9281565187797786,0.017601476628526416,1.3782002713281686e-20,0.9279842551348675,0.010439202047137604,1.895214579991283e-16,0.9272958395153315,0.015115698167387677,0.004467103344760543,0.9282426745877037,0.01789685238229574,4.088290033192531e-22,0.9278981472889797,0.010371139748649894,2.0437737891021675e-16
5,44508746098671,ngc_005C_M8.0_Q2,C,52.145271552831,31.267915741782016,17.55309295654297,16.520366668701172,15.212504386901855,8.0,0.8719799804687499,0.12078514099120952,0.07675628662109446,0.06071567535400568,0.060916296598622875,0.026909784745198083,0.01627255791651491,0.4984775601083362,0.02459562497218804,0.0001225321731124304,0.5009497211368266,0.01755774371586797,8.732862986143585e-08,0.060916296598622875,0.027572895977206694,0.003068855829503825,0.498527261245991,0.02303049009874512,0.08895550475391968,0.06067530888917204,0.009663548544764589,0.08073643816904226,0.060916296598622875,0.02713258076419358,0.0037875111284518914,0.05129104369160276,0.01400319710145677,0.13056786275778332,0.06894858712264855,0.010431502688414116,0.04924644693768954
6,44508746127084,ngc_006A_M5.5_Q1JH,A,52.14725474593154,31.299908659036227,16.237525939941406,14.648160934448242,13.538780212402344,5.5,0.6605984814278114,0.04980926513671946,0.040005302429198863,0.027147293090820312,0.05975511256914193,0.011625973617263365,0.036319148766306944,1.5042055254713196,0.01085213261082087,7.04477297998885e-05,0.49872616494605415,0.005969221034832725,0.03940156183492886,0.05975511256914193,0.011700660521627477,0.029942466462294003,1.5042055254713196,0.010831789853389007,7.081291757862056e-05,0.06802877856086788,0.0062494785879811865,0.06643532753064456,0.059756540878624004,0.011171824408642419,0.02984737776005576,1.5042055254713196,0.010195922280873087,0.00015228912252847817,0.06802877856086788,0.006284167628260255,0.05336877859603111
7,44508746126973,ngc_007C_M8.5_Q2,C,52.15119618587766,31.28925309152846,17.786088943481445,17.08197021484375,16.374691009521484,8.5,0.20964599937521,0.15028152465820455,0.1065023422241218,0.11767921447754048,0.08514443394325383,0.03730953604607222,0.006444949136148619,0.044642870429481084,0.022784998294838932,0.06928821105183772,0.04539245725525798,0.024235370655152442,0.04850470027206503,0.08514298404697641,0.03846533187159069,0.0020639789125872377,0.044642870429481084,0.022896946397662942,0.05919458998254517,0.04539286935575145,0.023575558686760013,0.0659126634413915,0.08514298404697641,0.037665270616481866,0.0032280917593850342,0.044642671130952376,0.023025814048169176,0.03927957836272291,0.04539286935575145,0.023667120647596334,0.060063548773395
8,44508746127275,ngc_008C_M4.0_Q2,C,52.15217641478506,31.324728364541873,12.756977081298828,12.147472381591797,11.838541030883789,4.0,1.903181435405344,0.0402349472045902,0.04223146438598668,0.03075256347656108,1.7190920291100795,0.013615073012877354,8.347891279421967e-11,1.7190920291100795,0.01504045357318023,4.3656356708136655e-15,1.7199790735007454,0.011570569661521842,3.174889210828813e-16,1.7190920291100795,0.013385547135614354,1.9113774332890876e-11,1.7187965509338834,0.014754134849904104,1.7928422197713898e-16,1.7196832903410717,0.01149268215025273,2.4738088136264803e-16,1.7193876088950022,0.01328736867201436,2.5548563598666575e-11,1.7187965509338834,0.014658392031492865,1.7707708765637328e-16,1.7199790735007454,0.011601542974468793,4.555647180353301e-17
9,44508746127046,ngc_009A_M2.0_Q0,A,52.15386390336591,31.293169449015686,11.921906471252441,10.682168006896973,10.066134452819824,2.0,1.6210970314600133,0.041426658630371094,0.038246154785158026,0.03130893707275462,0.4982292029960307,0.010020136871740684,0.007153815747480546,2.7026914414414414,0.008782266043612442,0.06621791422256479,1.5832739603124342,0.008470668080031937,0.0006979077546675612,0.3170965985963132,0.007686242688902061,0.1272382920560887,2.7034220960619986,0.00892229436091692,0.025963168527253826,1.582772765643136,0.007982260938163586,0.0012403621658632123,0.987747761095746,0.007381186508929155,0.07663406902496904,1.5817713276389327,0.008805536595340049,0.008472084467664048,1.5820215683172494,0.00779222975281803,0.0015605517065390186
